,Gene Name,D0 vs. D25 Log2 Fold Change,D0 vs. D25 p-value
29400,DDX11L9,0.461700107,0.725921457
68352,ABCC6P1,0.461700107,0.725921457
40612,TBC1D20,0.461662791,0.34363044
24682,LINC01080,0.461611416,0.378864719
74697,NTN5,0.461535049,0.348517695
3273,MAGEA4-AS1,0.461452916,0.397405084
9864,ANP32B,0.461387759,0.328967661
69859,MIR200CHG,0.461374413,0.3357543
794,LINC01493,0.461136247,0.425208227
46475,ZCCHC13,0.461136247,0.425208227
929,P2RX2,0.460874376,0.356807722
5546,MIR6795,0.460782796,0.346270609
60849,CPSF4L,0.460725097,0.353073974
1440,ZNF532,0.460657726,0.327970398
12334,ATP2A1-AS1,0.460510224,0.339325856
9480,GSTM2,0.460413028,0.343316311
31787,TTC9B,0.460190623,0.346515956
15691,RAVER1,0.460089119,0.332379733
14172,TMEM59L,0.460018983,0.339044939
7781,MDK,0.459909158,0.329433904
14529,CYP2A6,0.45986135,0.473184387
27810,LOC100505851,0.45986135,0.473184387
3815,TMEM205,0.459675979,0.338659008
41113,USP39,0.459456084,0.345976849
7228,STOX1,0.459448449,0.343936268
46398,AGO4,0.459127196,0.34299354
53978,SSR4,0.458942368,0.343320175
32219,P2RX3,0.458727575,0.352440502
5486,HMX1,0.458585427,0.335861929
61202,LINC02588,0.458538025,0.324276207
4649,VARS,0.458397918,0.337435787
50146,LOC105374820,0.45837744,0.442730531
5668,KDSR,0.458228032,0.329319434
10844,PRR30,0.458040667,0.380183374
3399,SNHG17,0.457977931,0.35660017
70134,SNORD114-3,0.457891422,0.460073197
43853,LOC101928324,0.457704407,0.363803909
13589,WNT4,0.457659536,0.342314493
16678,PAXBP1,0.457652366,0.336469669
184,MEIS2,0.457596287,0.329774895
26057,SH3TC1,0.457484961,0.361560553
71406,GP1BA,0.457425646,0.387551117
37719,SDAD1,0.457215804,0.352208194
32279,STKLD1,0.457203766,0.338894319
49453,SEPHS2,0.457101166,0.356381111
26636,EFCAB2,0.457037784,0.326945418
14091,LILRB5,0.457033398,0.386126287
50456,MTMR6,0.456937539,0.348649151
73123,GDF10,0.456712356,0.360526594
6078,PROCA1,0.456662743,0.334253787
60930,SZT2-AS1,0.456440799,0.370799629
48591,TAS2R9,0.456440643,0.402220918
282,PCDHGA8,0.456440426,0.456914383
778,FDPS,0.456086786,0.344861407
40085,DACT3,0.455940381,0.379490596
6376,CDC45,0.455923965,0.34257391
53287,ZNF554,0.455893122,0.355888798
52016,CD3D,0.455773751,0.388091828
16797,DMRT2,0.455557422,0.337242865
36687,FBXO7,0.455463635,0.345869954
73148,MIR654,0.455440859,0.428266044
7627,ATXN7L2,0.455429514,0.336195098
11755,TUBA8,0.455372748,0.361429557
19232,LINC01324,0.455232267,0.391601098
48973,LOC100652999,0.455232267,0.391601098
57482,CHST7,0.455203717,0.335613188
10914,ALOX5,0.455059296,0.360412208
5270,PRRT4,0.455008022,0.344619265
13432,SMTNL2,0.454860528,0.352127998
37438,LOC401442,0.454860528,0.352127998
23492,MIA-RAB4B,0.45483828,0.362027063
6337,SNX5,0.454748066,0.334354005
9656,MGME1,0.454748066,0.334354005
45547,RHPN1-AS1,0.454724827,0.337957108
17339,GAS2L1,0.454674464,0.340736949
39077,MAP4K5,0.454651119,0.340712824
5148,GOLGA6L7,0.454445117,0.485503785
8457,STAG3L2,0.454445117,0.485503785
20315,PMS2P5,0.454445117,0.485503785
20053,MSTO2P,0.454406422,0.38813215
11455,GGT6,0.454400769,0.360042648
1404,ZNF8,0.454396508,0.339023018
53270,ZNF8-ERVK3-1,0.454396508,0.339023018
27750,SLC26A1,0.454279862,0.367355512
39217,SPEM2,0.454279862,0.367355512
2196,PRR36,0.454257251,0.341713601
25156,DPEP2NB,0.45415329,0.415515288
32202,LYNX1,0.454000274,0.338546469
12797,EXOC1,0.453861145,0.338536423
35558,PRR7-AS1,0.453861145,0.338536423
7921,DEDD,0.453714386,0.334639481
19612,MIR6767,0.453714348,0.399638026
31443,LINC01523,0.453714348,0.399638026
48907,CTRC,0.453714348,0.399638026
40571,RHPN1,0.453669759,0.338146396
959,DNAJC4,0.453600709,0.347449589
1167,C2orf80,0.453563791,0.374148508
4418,RANBP3L,0.453563791,0.374148508
11766,DNAJC8,0.453563791,0.374148508
4765,PHKA1-AS1,0.453395597,0.527827161
70533,TMEM120B,0.453233103,0.351071351
69637,CNNM4,0.453083005,0.340755043
63515,KRTAP11-1,0.453066911,0.390087141
11743,SSBP2,0.452985512,0.330769376
34174,GBAT2,0.452920749,0.341923031
28880,WASF3,0.452627857,0.337401005
23257,CNTFR-AS1,0.452579567,0.359909803
50445,LINC01750,0.452556441,0.347247415
1169,STXBP6,0.452370689,0.344682692
47846,PLXDC1,0.452331888,0.345869954
1295,FCRLA,0.452308739,0.446933186
7930,KRT33B,0.452308739,0.446933186
22673,OR2Z1,0.452308739,0.446933186
66531,OR1J4,0.452308739,0.446933186
3564,ZNF781,0.452137985,0.373853794
21538,PHF3,0.452115596,0.334702353
4720,NUP62,0.45202747,0.339996195
15632,IL4I1,0.45202747,0.339996195
13426,MIR4275,0.45199107,0.422440374
16760,MACROD2-AS1,0.45199107,0.422440374
14849,YRDC,0.451973961,0.346209979
71664,APEH,0.451929972,0.339441661
44253,POLR1A,0.451791039,0.343094835
8072,LINC00868,0.451750679,0.403670217
20374,SPRR1A,0.451750679,0.403670217
48860,UGCG,0.45170874,0.337828363
8529,ACTG1,0.451402372,0.341233287
54017,LOC143666,0.451402372,0.341233287
3157,HNRNPM,0.451241738,0.357776574
4190,MIR6745,0.451200044,0.354412276
4079,HCRTR1,0.45116109,0.351278444
32596,TMEM170B,0.450768338,0.338775446
61095,TIGD3,0.450750199,0.345282917
28052,MIR6765,0.450720517,0.364714249
10651,LTO1,0.450629337,0.367387767
3336,TRIR,0.450520448,0.353880119
27618,DHX35,0.450388138,0.348710523
49638,FAM173A,0.450337475,0.345004598
95,LOC100291105,0.45032351,0.344727291
20477,PER1,0.450277953,0.342941265
9884,RARB,0.44990734,0.342957874
11303,UMODL1,0.449592595,0.381563359
71358,C12orf80,0.449562472,0.39022876
58630,TMEM269,0.44952772,0.400250394
23175,KRTAP5-6,0.449439285,0.390820436
40506,RBMXL2,0.449381821,0.403568057
58900,LOC100631378,0.449311607,0.419115288
14319,BICC1,0.449300655,0.340714245
44861,LINC00159,0.449111118,0.438947783
56717,SNORA68B,0.449111118,0.438947783
60896,GABRG3-AS1,0.449111118,0.438947783
41859,MIR5188,0.449003238,0.341022253
1704,LOC100289333,0.44896087,0.431661961
47392,OR5M3,0.44896087,0.431661961
57160,LINC00113,0.44896087,0.431661961
62594,MIR525,0.44896087,0.431661961
15352,KIF1C,0.448923958,0.35087161
5466,FBLN1,0.448443788,0.348295058
13472,LOC101928475,0.448435798,0.508158509
17954,KCNK7,0.448411359,0.373714858
1278,IDH3G,0.448239199,0.351621689
27449,LZTS2,0.448226838,0.361225529
70458,MIR6729,0.448194789,0.389067614
2462,KCNC3,0.448190956,0.34421873
11529,SH2B1,0.448141622,0.350787169
35504,IQCH-AS1,0.44808148,0.362968717
27297,LOC105377763,0.447911963,0.52385214
75006,COPS6,0.447910394,0.362590795
5655,BANF1,0.44781297,0.367388049
47159,ABCB10,0.447686274,0.348516987
71257,PPP1R37,0.447627315,0.351131767
17750,TBCD,0.447597137,0.345739957
39557,SCAF11,0.447542892,0.339490039
5453,TMEM106C,0.447417804,0.352922616
4691,PHC2,0.44726691,0.415250816
4881,RNASE13,0.44726691,0.415250816
20787,TMEM8A,0.447208375,0.353211324
24847,PARP3,0.447177994,0.344367879
68023,LOC102724659,0.447149782,0.377083309
11713,ARSA,0.447056592,0.348125726
35889,SCAF4,0.447048975,0.339362851
55681,MIR6812,0.446954907,0.432545376
6426,RALB,0.446903467,0.341379374
35638,PSMB5,0.446795413,0.356037281
5726,SMIM22,0.44675732,0.381921111
12288,WBP2NL,0.44675732,0.381921111
35879,MIR6879,0.44675732,0.381921111
56176,NPAS2,0.446697794,0.359011325
55322,LOC101927020,0.446562975,0.426226532
23243,ZNRF4,0.446517801,0.390855852
40582,MIR4449,0.446334028,0.342292113
15354,NRP1,0.446301916,0.352373431
7793,ZNF408,0.446276092,0.356287935
71937,SNORD49B,0.446239855,0.352672816
46622,FGF3,0.446185733,0.367387767
65767,MIR6820,0.44609541,0.376665967
8763,A2ML1,0.446055888,0.425208227
56869,MIR553,0.446055888,0.425208227
3010,WWC3,0.446002151,0.348463916
29942,LOC101928068,0.44581897,0.341118581
59745,NDUFS6,0.445761119,0.350670283
11381,FLNC,0.445669824,0.352287263
5315,TMEM91,0.445550953,0.35583675
66203,SPIRE2,0.445550953,0.35583675
36967,GABARAP,0.445527584,0.355907409
24688,CMTM3,0.445486121,0.344279901
27967,PCDHGB5,0.445374155,0.4516301
43939,CEACAM3,0.445374155,0.4516301
71899,BLACE,0.445374155,0.4516301
5339,LOC101929154,0.44525429,0.362672175
74716,KRTAP10-8,0.445060728,0.404919577
274,MIR1236,0.444924827,0.399323843
59770,MIR6877,0.444924827,0.399323843
8113,UFD1,0.444851128,0.355479186
14674,CABIN1,0.444851128,0.355479186
17798,ZNF678,0.444851128,0.355479186
48118,SNORD88A,0.444848912,0.383104961
21026,SNORD37,0.444766825,0.365181746
657,C20orf27,0.444634762,0.343117152
40190,LINC01747,0.444550846,0.36339713
38210,C11orf80,0.444546058,0.369685058
8847,SDF2,0.444539452,0.378294173
3238,RPH3AL,0.44452975,0.390798216
13969,ZNF496,0.444284996,0.341912717
42292,LOC283387,0.444264285,0.352472712
38077,CTC1,0.444228065,0.35577436
18325,COL2A1,0.444218886,0.352088081
23934,MAP1LC3B,0.444218886,0.352088081
3404,LOC107984507,0.444048074,0.358812639
44660,RAB11FIP4,0.443856526,0.362056229
62533,OVCA2,0.443838939,0.352777602
14992,USP32P3,0.443765276,0.687056696
16575,SNAR-C3,0.443765276,0.687056696
58873,MIR6854,0.443757022,0.441874926
68737,OR2V1,0.443757022,0.441874926
9848,LOC101929523,0.443756215,0.377884475
38234,CCNJ,0.443755911,0.347036895
18525,NDST1-AS1,0.443700525,0.34863549
26802,MTMR9,0.443670823,0.355354749
20136,SYNGR1,0.443652273,0.365526491
29375,OVOL1-AS1,0.443571997,0.376870368
9732,ABCD3,0.44352464,0.348308251
49890,NES,0.44347849,0.353790615
1912,LINC00207,0.443455557,0.402308984
12133,ADAMTSL2,0.443439669,0.372873889
4778,ARAF,0.443364164,0.362181361
1317,HDAC6,0.443326964,0.348605022
73569,SNORA5A,0.443281799,0.391517356
74787,MIR6777,0.443212691,0.355004255
3187,ITM2C,0.443189864,0.348241228
42576,MIR4655,0.443168782,0.384225749
70475,MRGPRE,0.443168782,0.384225749
4191,CCR3,0.44293626,0.541961117
51738,LINC02332,0.442919943,0.36185527
7201,ALDH18A1,0.442817773,0.35423921
12979,SNORD71,0.442808866,0.442730531
49066,LOC339685,0.442808866,0.442730531
47042,ANKRD26P1,0.442757231,0.417108891
15810,LINC01192,0.442729265,0.40227138
6058,RPL7A,0.442671325,0.358709439
47352,SNHG9,0.442668404,0.357775381
3396,YIF1B,0.442663782,0.352229108
41773,DNAJC22,0.44250396,0.349854726
4838,BRF1,0.442257992,0.345766735
7383,RNF32,0.442224224,0.353131723
33471,RGS8,0.441997809,0.372477549
18295,FAM89B,0.44199753,0.35607619
43999,XRN2,0.441905981,0.357384102
2397,LITAF,0.441904668,0.36927689
50786,MIR3617,0.441892493,0.435385996
1594,RNF31,0.441777908,0.345660721
3854,IFRD2,0.441738108,0.355722907
4089,SLBP,0.441738108,0.355722907
6195,ARPC2,0.44161226,0.36736685
9093,LINC02578,0.441522076,0.473184387
33759,MAP11,0.441228498,0.359634999
42456,ZSWIM9,0.441216893,0.350974847
6076,SLC46A3,0.440996284,0.35280301
4224,POMGNT1,0.44080035,0.36339713
56661,KRTAP17-1,0.440793812,0.42904762
58809,RASD2,0.44071024,0.360836978
8585,TXNIP,0.440427487,0.36398295
7555,CASTOR2,0.440414569,0.554737117
15099,PGM5P2,0.440414569,0.554737117
25454,SPDYE10P,0.440414569,0.554737117
31115,ZNF418,0.440338158,0.384634258
74224,TUSC2,0.440330584,0.369306619
11673,AKT1S1,0.440324002,0.347274998
26770,CABP7,0.440196238,0.369685058
43989,RPL19,0.440196238,0.369685058
2939,EVI5L,0.440127362,0.348110626
3316,SURF4,0.440018919,0.358024437
29147,CELSR2,0.439848192,0.355533661
12207,LOC100288798,0.439831177,0.351851919
14471,SERTAD3,0.439831177,0.351851919
15193,NDUFA10,0.43976438,0.374601868
20956,ARRDC1,0.439751582,0.351577409
4184,PSMD13,0.439616173,0.359716018
6297,LTN1,0.43959514,0.348970001
151,SUPT6H,0.439362337,0.378294173
70124,LINC01639,0.439362337,0.378294173
35588,LINC01644,0.4393514,0.454299347
42388,HTN3,0.4393514,0.454299347
17931,EFCC1,0.439321473,0.36262211
15411,SERPING1,0.439229868,0.354312553
16805,LINC01537,0.439169106,0.423650376
4607,SART1,0.43913931,0.369400062
15676,DMRTB1,0.438911362,0.403164931
39109,HSPG2,0.438864917,0.35696925
29904,C16orf46,0.438793977,0.353540983
973,ZFYVE21,0.4385905,0.351432432
64231,XRCC3,0.438437111,0.351596754
71225,ATPAF2,0.438404324,0.355844298
55352,PIP4K2A,0.438375638,0.362099319
36438,CLUH,0.438303942,0.36927689
36581,SERTAD2,0.438275438,0.351786276
50109,GJB2,0.438232269,0.374998305
3986,DAP3,0.438206212,0.381245618
36351,FAM200A,0.438206212,0.381245618
63696,LINC00592,0.438088995,0.401255098
26076,FZD2,0.437974875,0.357862111
51311,UBE2D4,0.437881163,0.37333559
19154,ASAH2B,0.437837016,0.371610683
69984,MIR1908,0.437805653,0.352643977
9743,DRG2,0.437727445,0.374729718
15516,SNORD3J,0.437659737,0.445603837
52686,DDX28,0.437575934,0.378968514
6916,BCOR,0.437538839,0.351759303
21402,GRIFIN,0.437403751,0.367302494
6659,SNORD91B,0.437374036,0.456914383
42752,SFTPA2,0.437374036,0.456914383
25942,WDR47,0.437309794,0.354622365
29854,SOS2,0.437235742,0.358606012
68166,LOC105378367,0.437196141,0.395441459
23132,SCUBE3,0.437183177,0.363027004
12380,SYNE1-AS1,0.437130625,0.371128213
29026,FUNDC2P2,0.436991035,0.413421523
45711,SLC6A18,0.436991035,0.413421523
2832,CNTFR,0.436913702,0.357929236
3882,SIRT3,0.436763124,0.364252924
25299,THRSP,0.436710663,0.432601612
35802,DPPA5,0.436710663,0.432601612
4952,GDAP1L1,0.436675118,0.369306619
30642,TFPT,0.436675118,0.369306619
6944,RBP1,0.436669419,0.363182748
68364,B9D2,0.436584027,0.365856365
8772,L1CAM,0.436550329,0.373612251
9721,NPPA-AS1,0.43645784,0.393941269
23127,ZMYND15,0.436324509,0.385005328
9749,GAREM2,0.435766235,0.360303891
16204,PLA2G2F,0.435758201,0.407146424
48069,SNORD64,0.435662334,0.474393671
9218,MIR10398,0.435602122,0.358848327
64850,NT5DC4,0.435426873,0.404201507
68980,GNAQ,0.435401433,0.354439089
5059,FBXO17,0.435354463,0.380976078
8442,PPIL2,0.435354463,0.380976078
53797,KBTBD11-OT1,0.435204435,0.402079718
36871,KRTAP12-4,0.435193871,0.432545376
58352,LOC105447645,0.435193871,0.432545376
71789,BRD7P3,0.435193871,0.432545376
27519,ARL8B,0.435149118,0.361227356
8034,LIG1,0.435119988,0.359137285
28691,MED22,0.435119481,0.372487662
1558,MIR4315-1,0.435101887,0.591836114
6846,FOXD4L5,0.435101887,0.591836114
27920,TRIM43B,0.435101887,0.591836114
11958,MAVS,0.434919361,0.37097107
8446,FADS6,0.434667917,0.387058924
61586,MIS18A,0.434642823,0.369111884
6789,SBF2,0.434529544,0.363027004
10142,KRTAP9-9,0.43449637,0.497408882
65684,SH3GL1P2,0.43449637,0.497408882
70115,SNORD113-6,0.43449637,0.497408882
25748,LINC01676,0.434339573,0.463252088
41091,AICDA,0.434267557,0.422353048
58987,MIR380,0.434267557,0.422353048
6872,SLC2A1,0.434250906,0.362137924
42188,MIR4506,0.434226194,0.416187828
56182,MMP21,0.434199347,0.400373478
21621,TLK2,0.434140392,0.379386502
1095,DNAAF3,0.434113816,0.364802864
27782,MIR6782,0.43373578,0.394668525
72094,CATSPERD,0.433717501,0.37009192
13121,HIF1AN,0.433488319,0.383461955
14226,LOC100132831,0.433483064,0.418398702
18690,TNP2,0.433483064,0.418398702
5259,ZNF653,0.433459638,0.363801136
19670,CLK2,0.433397287,0.36564162
70,ELANE,0.433328343,0.3935328
17208,OR10K1,0.433286712,0.426226532
48337,TMEM252,0.433286712,0.426226532
20156,ATP1A1-AS1,0.432953702,0.381245618
20290,DLG3-AS1,0.432904265,0.36482142
25630,LINC01891,0.432894546,0.480189619
50568,ACTG1P17,0.432894546,0.480189619
4608,LOC283856,0.432823055,0.361597038
33576,C16orf86,0.432823055,0.361597038
48540,LOC389602,0.432810138,0.41497028
67016,S1PR2,0.432760124,0.370480242
26619,DANCR,0.432703838,0.358695076
12456,DPF2,0.43260805,0.388910161
15500,C1QTNF5,0.43260805,0.388910161
36770,MFRP,0.43260805,0.388910161
9675,JAGN1,0.432481502,0.378936915
6023,SH3KBP1,0.432428792,0.441099173
7894,GGT5,0.432428792,0.441099173
6005,LOC100507507,0.432410259,0.353729702
52334,MLF2,0.432338306,0.362399181
69299,LOC101929574,0.432226558,0.407699002
37575,SPTBN1,0.43221173,0.353813646
12143,C15orf61,0.432209489,0.378560789
11698,NBPF12,0.431717578,0.459411545
45163,HAO2-IT1,0.431715639,0.405298915
4435,PDXK,0.431575572,0.367248898
4663,DCST1-AS1,0.431575572,0.367248898
67424,LINC01703,0.43127639,0.375304365
22790,TMEM256-PLSCR3,0.4312661,0.35816399
20731,MIR4717,0.431264605,0.403164931
17269,LINC00540,0.431115042,0.430185579
66034,LINC01072,0.431115042,0.430185579
1383,SNHG29,0.431066879,0.366044189
20922,CCKAR,0.431025839,0.395273344
45339,P2RX1,0.431025839,0.395273344
39991,KRTAP25-1,0.430816228,0.449723608
63876,MIR1302-4,0.430816228,0.449723608
36263,MIR4730,0.430600946,0.405806231
39889,MIR3202-2,0.430600946,0.405806231
2355,RCOR2,0.43055126,0.359965573
14391,RIC1,0.430287263,0.358077463
17462,SLC2A3,0.430212188,0.377120858
35947,PLA2G4B,0.430181272,0.39468854
1813,CNTROB,0.430106312,0.365931801
2733,MIR3192,0.43010383,0.441874926
15768,OR5R1,0.43010383,0.441874926
40864,MIR377,0.43010383,0.441874926
5088,TBRG4,0.430090188,0.370257865
67203,ITGA9,0.430090188,0.370257865
19523,VSTM2L,0.430070034,0.375671528
23810,CYTH3,0.429992819,0.369884455
12412,FERMT3,0.429961238,0.388501325
10518,LINC01061,0.429922286,0.558840083
44171,LYZL1,0.429922286,0.558840083
339,GRIK1,0.429844263,0.374421791
28183,MIR200C,0.429778074,0.364725002
55740,ACBD3,0.429733958,0.381829089
10122,GID4,0.429682181,0.365118024
9782,NUP58,0.429490006,0.375422542
66389,KRTAP10-2,0.429425829,0.395441459
14649,TCEA1,0.429391798,0.367227368
72612,S100A10,0.429353383,0.384016158
55858,PRPF31,0.42933628,0.381151452
50314,ZNF513,0.429213085,0.37107293
21126,DOK7,0.429190958,0.38076408
57497,C9orf106,0.429177491,0.383461955
8302,CBX7,0.42908233,0.372111334
47714,HMGN1,0.429067557,0.361196075
25447,RHEX,0.429049412,0.424566836
28711,ARHGDIG,0.42901283,0.389779683
2757,CELF6,0.428952035,0.395176408
32264,OR1L4,0.428804178,0.47765862
39465,LOC101928306,0.428648324,0.42030284
17978,RPLP2,0.428642736,0.373661735
27696,LOC102467080,0.428606773,0.402079718
19329,TLCD3B,0.428263057,0.373620247
23172,FYTTD1,0.428263057,0.373620247
11174,RAPSN,0.428185963,0.395904988
62538,SNORD114-30,0.4280422,0.496969994
6427,FAM131A,0.42799448,0.371035245
69264,MNX1,0.427924556,0.370961823
58083,CXCR3,0.427754769,0.406462676
27169,CNNM3,0.42770617,0.368206937
4235,TMEM185B,0.427687229,0.375482907
11671,RILPL2,0.427681999,0.389775815
19919,LOC105369332,0.427675251,0.36630786
26188,TBL1X,0.427510695,0.366274064
34955,APOL4,0.427489578,0.480992279
56181,KRT27,0.427489578,0.480992279
43132,C17orf97,0.427485655,0.373724528
3976,TEDC1,0.427446382,0.359228726
27854,MIR4741,0.427363147,0.368486723
69244,AHDC1,0.42729144,0.370320293
10150,PFN1,0.427152893,0.369176176
29317,ENKD1,0.427042601,0.370599326
6184,C1orf159,0.427025602,0.368124169
58147,SH2D6,0.427025602,0.368124169
4229,MIR6735,0.426990158,0.395367146
14591,PALM3,0.426875845,0.380543921
29926,IRF2BP2,0.426856339,0.36218506
2119,LINC02359,0.426741662,0.42904762
24914,SULT1C3,0.426741662,0.42904762
34334,OR13C4,0.426741662,0.42904762
27870,MOGS,0.426629625,0.385520245
14961,CSNK1D,0.426591657,0.371680398
3156,SUSD1,0.426556721,0.377120858
24851,TMEM256,0.426490505,0.36294649
10272,IGFL1,0.426476844,0.444442169
14870,GLRX3,0.426192549,0.37910324
50967,THEM4,0.426192549,0.37910324
29058,SYCE3,0.426141779,0.377196495
3198,SLC16A10,0.426093328,0.376960671
6654,ZNF503-AS2,0.425986706,0.362649403
2625,ALOX12-AS1,0.425984551,0.395947725
6311,ADAM3A,0.425921697,0.423203569
53389,CHUK,0.425859948,0.385114283
8984,MIR487B,0.425788485,0.419462912
3532,SCN1B,0.425652814,0.387193479
10396,SLC41A3,0.425571159,0.426694148
32360,INPP5K,0.42552568,0.378260166
19547,CFP,0.425481362,0.406965151
38225,RNF151,0.425451376,0.382979077
9903,PTBP1,0.42542335,0.368730736
3070,MIR6513,0.425329714,0.414211535
898,NDEL1,0.425124351,0.373987591
70730,MIR6732,0.425104589,0.403351769
48970,TBC1D17,0.425024095,0.364143131
57809,LYPD2,0.424980721,0.396679169
43763,HTR6,0.424945486,0.395595783
30155,LINC01521,0.424891899,0.368257449
1939,PCGF6,0.424882236,0.391335199
2585,PSME1,0.424878983,0.371391839
38594,RPS27L,0.424802057,0.386959161
21716,TEAD1,0.424798273,0.3690655
54436,UBE2QL1,0.424778543,0.386357865
67259,SNORA26,0.424585628,0.367771947
13477,GAN,0.424431732,0.371841629
14338,FMR1,0.424394972,0.373524748
63152,C19orf24,0.424384134,0.369226953
10427,KATNAL1,0.424369001,0.368150677
3549,DBN1,0.424355074,0.370930745
11758,UBXN6,0.423887482,0.375946149
11456,TRAPPC1,0.423880148,0.377755473
12372,RTL8A,0.423831386,0.383181257
40739,URGCP,0.423804522,0.387484489
30432,FAM241B,0.423798201,0.381774493
6762,LUC7L,0.423768708,0.386014032
59923,LINC00106,0.423677573,0.411875477
62833,NLRP6,0.423661303,0.40360161
12329,LINC01166,0.423549482,0.418744213
15721,FGR,0.423549482,0.418744213
182,SETD7,0.423543843,0.370486073
12901,MAPK6,0.42350102,0.369888703
36338,OR51G2,0.423441158,0.43501865
41044,TBC1D3P5,0.423393031,0.422353048
5945,TMEM150B,0.423267955,0.460191051
1648,RHOA,0.423240544,0.376834373
65350,TCTA,0.423240544,0.376834373
14537,ENO3,0.423209232,0.382978185
1498,SNORD140,0.423184612,0.469795554
3918,MIR1268A,0.42308048,0.454299347
38708,FHOD3,0.422993756,0.36845671
15222,MIR6868,0.422946671,0.504285299
31013,LOC101929162,0.422946671,0.504285299
53424,GSDMC,0.422946671,0.504285299
28362,VASH1,0.422922645,0.382641094
28244,TSPAN18,0.422886017,0.372698422
17663,LOC105378269,0.422702187,0.37619569
13642,QRFP,0.422617494,0.391757527
63144,NYNRIN,0.422571745,0.379905061
12978,MIR675,0.422566982,0.40293418
59318,OR10H3,0.422519056,0.508158509
23895,CFAP410,0.422420729,0.373627462
59913,FRAT2,0.422261469,0.376649961
1774,CROCC2,0.422247832,0.404142172
47001,RAB11B-AS1,0.422189739,0.370902787
5043,SAMD14,0.422169318,0.373421518
61194,KRT6B,0.422145607,0.536094799
7850,FITM1,0.421978801,0.413036396
56264,LOC105373383,0.421900212,0.387783917
16055,DBNL,0.42183694,0.388409535
17487,NAA16,0.421729112,0.379542335
12037,CRABP2,0.421710193,0.370337841
35306,TERF2,0.421698341,0.391948107
30145,C20orf194,0.421693262,0.373925998
6208,TPI1,0.421667868,0.374444502
4585,FCGR3A,0.421524667,0.662562521
4621,LOC440910,0.421524667,0.662562521
51251,TAS2R31,0.421524667,0.662562521
45664,MRPL4,0.421512184,0.389178493
27121,SNORD165,0.421360654,0.398058449
3756,CBSL,0.421244335,0.38003747
50421,MIR33B,0.421187666,0.380310468
12183,ATF3,0.421088722,0.421269045
73472,PAFAH1B1,0.421048319,0.377082339
6613,ITPK1,0.420991195,0.374569806
10539,ABLIM2,0.42087922,0.371267485
18412,MYLK-AS2,0.420858972,0.447395226
53462,TEX46,0.420858972,0.447395226
26468,ENO2,0.420827045,0.379163013
7773,SH3BP4,0.420800282,0.376176716
7985,SDCBP2,0.420769664,0.398253829
40417,MRPS35,0.420703571,0.380998513
37495,SLC2A1-AS1,0.420642205,0.375292391
48524,PRR7,0.420593391,0.375417447
22184,LOC105372631,0.420590137,0.453950388
6193,FMR1-AS1,0.420491405,0.37672628
28320,MIR550A3,0.420288289,0.6658006
15007,LOC100505912,0.420271317,0.441099173
35690,LINC02302,0.420271317,0.441099173
6327,LOC388780,0.42026889,0.392194641
33990,SPRY4-IT1,0.42026889,0.392194641
7512,PNPLA6,0.420268172,0.381618376
13499,NAGK,0.420096683,0.381863477
33983,DNAI1,0.420072181,0.372722483
7897,ASB10,0.420066805,0.423810252
33653,TMEM262,0.420066805,0.423810252
2753,A2M-AS1,0.420047067,0.377688284
73232,LINC00612,0.420047067,0.377688284
13552,KLF10,0.419989886,0.365703228
24328,RRP9,0.419911426,0.37685592
48780,C6orf120,0.41988886,0.380172578
20651,NAPSA,0.419887141,0.448100765
25859,MIR4535,0.419887141,0.448100765
30507,LINC00301,0.419887141,0.448100765
31490,MROH2A,0.419887141,0.448100765
37576,MIR6780A,0.419887141,0.448100765
58317,DGAT2L6,0.419887141,0.448100765
70280,PPEF1-AS1,0.419887141,0.448100765
1175,GORASP1,0.419662181,0.381036985
26668,VIM,0.419604247,0.370214308
3160,JAK2,0.419578916,0.37002397
29204,POLR2I,0.419558195,0.372668717
5966,STX5,0.419456664,0.376071704
1357,MYRIP,0.419425197,0.374263123
67327,KPNA7,0.419415218,0.488633923
71339,MIR4290HG,0.419415218,0.488633923
48199,ZKSCAN2,0.419111996,0.378768702
72824,TLCD2,0.41906167,0.397502631
30062,MAG,0.41903244,0.406732667
74219,SSR4P1,0.418996064,0.383847113
73437,MIR5001,0.41896979,0.38831781
25374,RAB11B,0.418967831,0.37173931
1544,DHRS2,0.418821611,0.474393671
5445,HLA-DRA,0.418821611,0.474393671
55628,LGALS7,0.418821611,0.474393671
56613,MIR134,0.418602304,0.432611499
20978,SH3PXD2A,0.418583029,0.38260245
14817,SLC43A1,0.418264282,0.389728989
3087,NKRF,0.41809029,0.394092268
25455,TNFRSF17,0.41805229,0.488456589
37477,OR1B1,0.41805229,0.488456589
3642,DPYSL2,0.417962848,0.381161092
64092,FLJ36000,0.417874922,0.419577037
65117,LRFN1,0.417874922,0.419577037
16441,MELTF-AS1,0.417738852,0.381900449
42060,INPP5J,0.417707826,0.411875477
62203,MIR4695,0.417707826,0.411875477
65027,HECTD1,0.417672068,0.377369885
926,PUF60,0.417642585,0.379691476
10176,ADAM15,0.417461201,0.382458982
2093,CDK10,0.417426378,0.386369149
58595,MNX1-AS1,0.417342268,0.382748568
23620,LOC105375304,0.417091721,0.383251763
29199,USP9X,0.417017882,0.375859581
54476,ZYX,0.417001945,0.37093303
